type,city,community,label,centroid_x,centroid_y,geometry,date,case_7day_rate,supdist,area_pct,population,split_pop,supdistlabel,supdistlabel_rep,add_label,rank,dotlabel
City,Agoura Hills,NA,City of Agoura Hills,-118.7608755887659,34.1510066969324,"list(list(c(-118.728636167246, -118.732726250462, -118.737084514664, -118.737065995536, -118.734614832315, -118.733035550914, -118.729708350679, -118.727737523628, -118.726474562289, -118.724214519686, -118.724204346215, -118.719809396784, -118.71981247551, -118.72106448564, -118.719789424813, -118.719776341603, -118.724098204753, -118.72411319619, -118.723874380792, -118.728460811792, -118.728468603989, -118.734836481424, -118.736757283749, -118.738418409698, -118.756593858643, -118.769830570798, 
-118.787407319516, -118.80041732202, -118.792815153946, -118.788884831489, -118.762988169632, -118.728636167246, 34.1679260673636, 34.1544271584042, 34.1544360472378, 34.1429679627385, 34.1417789400737, 34.1407017151472, 34.1387117262862, 34.1380077680633, 34.1379452924011, 34.1381834981371, 34.1362466041874, 34.1362800681808, 34.1326084599207, 34.1314114841108, 34.1289723872239, 34.1253424383532, 34.125330019521, 34.1289678579221, 34.1315351772477, 34.1315096843974, 34.1325933561448, 34.1325950009726, 
34.131192848937, 34.1327590014496, 34.1408323912433, 34.1346253596411, 34.1363123935078, 34.1393510290038, 34.1460333152262, 34.1682065082732, 34.1680947914617, 34.1679260673636)))",2021-07-09,14,3,1,20883,20883,District 3,District 3 - S. Kuehl,0,0.9811320754716981,NA
City,Alhambra,NA,City of Alhambra,-118.13550422303963,34.083960697817304,"list(list(c(-118.121087787708, -118.116931624394, -118.112951508308, -118.112949715502, -118.113779955895, -118.113098174049, -118.113342315, -118.112754125577, -118.108396525158, -118.108323990286, -118.108108850708, -118.108104856651, -118.10926383224, -118.109240030075, -118.118117331846, -118.135809271155, -118.135784867202, -118.135160813827, -118.134991510734, -118.135520323283, -118.137620189431, -118.140493736558, -118.143409924522, -118.144122004786, -118.146043841646, -118.14720247635, 
-118.148570281386, -118.151654581964, -118.152530176754, -118.165292814444, -118.164986122977, -118.164109215895, -118.161757120352, -118.161555935783, -118.161760751673, -118.160492005577, -118.160608998595, -118.160661033552, -118.156641566821, -118.155545660735, -118.155357902588, -118.1417376306, -118.141777947928, -118.134700614633, -118.134709914026, -118.135279224056, -118.132802356369, -118.12799734454, -118.121871792313, -118.121087787708, 34.1053684999764, 34.1073713245101, 34.1016722533737, 
34.1003450348854, 34.0999688283692, 34.0989874494282, 34.0975538644428, 34.0937001871025, 34.0954446055629, 34.0866212713666, 34.0747630496678, 34.0716727366503, 34.0716376881622, 34.0698467889983, 34.0697886291393, 34.0697398059813, 34.0679279598654, 34.0679324381203, 34.0632787753725, 34.0625908731513, 34.0625823159958, 34.0622365555677, 34.0607777896169, 34.0601555814692, 34.0603301662048, 34.061136975431, 34.0616584251694, 34.0619606353922, 34.0623181293168, 34.0622979019368, 34.0641575957662, 
34.06653432026, 34.0710498329478, 34.0728832726072, 34.0746351071358, 34.075124889289, 34.0913402448195, 34.0934972527505, 34.0962414688921, 34.0975051871549, 34.0986729299338, 34.0987659281132, 34.1040373229272, 34.1040756460856, 34.1057470271884, 34.1064422894024, 34.107925451005, 34.1111047682034, 34.1049909102041, 34.1053684999764)))",2021-07-09,20,5,0.9999038484976465,86724,86715.66135710989,District 5,District 5 - K. Barger,0,0.7142857142857143,NA
City,Arcadia,NA,City of Arcadia,-118.03729696838045,34.134186032782885,"list(list(c(-118.00672156292, -118.008786406838, -118.008573726491, -118.008595730013, -118.012036952749, -118.01224649565, -118.013105512064, -118.013078821503, -118.013929602515, -118.016035129586, -118.016833969524, -118.016754461524, -118.015949341824, -118.015755828371, -118.015611882773, -118.007477777047, -118.008154836795, -117.995092054412, -117.996638061437, -117.992198920884, -117.995168445436, -117.997209703406, -117.998925532974, -118.001861627741, -117.997650431376, -117.998529037749, 
-117.997348148648, -118.000405188018, -118.001158287275, -118.009748330966, -118.010430269435, -118.011219731533, -118.012932224842, -118.016386948456, -118.01738779123, -118.020124293382, -118.020268659142, -118.019224004036, -118.017894374907, -118.016590131857, -118.017320876259, -118.018586080446, -118.018470333351, -118.024541877484, -118.026198642694, -118.029236022796, -118.030494463916, -118.032692804521, -118.03479564167, -118.036212547135, -118.038083806172, -118.038949496862, -118.051402259803, 
-118.052262723407, -118.052778034063, -118.053553126132, -118.052735755118, -118.053159235932, -118.053699326469, -118.054177193342, -118.054209534764, -118.055681450143, -118.056588094739, -118.057138128007, -118.057917795707, -118.058330575837, -118.059620687308, -118.059847822066, -118.061323458057, -118.067100056922, -118.067277004894, -118.067499103073, -118.067693499442, -118.067290064979, -118.06735476337, -118.067887526211, -118.067385895266, -118.067738160555, -118.067850828511, -118.067852536997, 
-118.056548132843, -118.038411370218, -118.038468654761, -118.030354555269, -118.029688402759, -118.029472241406, -118.030140418917, -118.030352519844, -118.030142901639, -118.030135931427, -118.021400665041, -118.017591795443, -118.017508866646, -118.016372876577, -118.018630730248, -118.019632490714, -118.020496886993, -118.02137595759, -118.021385397308, -118.021279244951, -118.021907273563, -118.02188353338, -118.021252177146, -118.021216616853, -118.020801747253, -118.020423353106, -118.020018391459, 
-118.017969657899, -118.014136635973, -118.007237124376, -118.00672156292, 34.1293457328098, 34.1258850045161, 34.124994160605, 34.1192138820413, 34.1204532202918, 34.118682198528, 34.118677299672, 34.1170196512387, 34.117269269024, 34.1137218547246, 34.1104462879686, 34.1093378786559, 34.1056324896825, 34.1042249206258, 34.1028826066216, 34.1055278617198, 34.1041428924486, 34.0997193477724, 34.0965504245515, 34.0950412972454, 34.0924770078014, 34.0900534546369, 34.0872650864389, 34.0882618646077, 
34.0968946179571, 34.0971927755738, 34.0986065322109, 34.0996445666736, 34.098093048473, 34.1010078025659, 34.0996083949855, 34.0996687780884, 34.0984035580286, 34.0967283144707, 34.0968270975512, 34.0965268125175, 34.0993488462939, 34.1027890012595, 34.1025161368242, 34.1052878894395, 34.1086498012351, 34.1084637891499, 34.1078998074879, 34.1070135703586, 34.1072859477402, 34.1068510880879, 34.106383983257, 34.1061577404021, 34.1066692867077, 34.1060481963637, 34.1057779863262, 34.1062056906671, 
34.10438023001, 34.1042884945316, 34.1068880962273, 34.1075651039593, 34.1079436387672, 34.1089412722413, 34.1114570497223, 34.1122176515811, 34.1136932425419, 34.1138608798696, 34.1184064623132, 34.1207267779086, 34.1206185531883, 34.1226744474251, 34.1224948624433, 34.1236220636043, 34.1241022008164, 34.123274084222, 34.1241434933637, 34.1241060813564, 34.124061534426, 34.1253551458483, 34.1297874213497, 34.1307262074359, 34.1315151267557, 34.1502890621989, 34.1567557679139, 34.1568244635784, 34.1570161041239, 
34.157260229377, 34.1668128383364, 34.1668701055372, 34.1667864601388, 34.1678324217778, 34.1689279700141, 34.1703671139302, 34.1712279368671, 34.1794001056836, 34.1794376890563, 34.1794537606879, 34.1781602125056, 34.1766861384005, 34.1754135483305, 34.1753948417703, 34.1747293697335, 34.1733281471709, 34.165001067409, 34.1570628336169, 34.1570531039344, 34.1547534847654, 34.1546076161966, 34.1512425129534, 34.1509732934616, 34.1308922751159, 34.1301645008749, 34.13003704719, 34.1302429589999, 34.1303345928693, 
34.1293457328098)))",2021-07-09,12,5,0.9999909433152557,57754,57753.47694022928,District 5,District 5 - K. Barger,0,0.8367346938775511,Arcadia
City,Artesia,NA,City of Artesia,-118.0806301751097,33.86757701057985,"list(list(c(-118.087806050539, -118.074919575328, -118.074833963259, -118.079651968351, -118.079627551363, -118.080116755107, -118.080093203396, -118.07038350723, -118.070326472581, -118.072436337775, -118.07242770495, -118.070319498666, -118.070160353403, -118.071247280191, -118.071212798166, -118.069015934356, -118.068926094271, -118.070553052602, -118.072296214129, -118.072341178831, -118.075155548231, -118.075151603625, -118.082037653932, -118.081990517911, -118.086443385337, -118.086492221929, 
-118.089990135252, -118.090001101329, -118.090862415934, -118.091035641503, -118.08776434506, -118.087806050539, 33.8803407523698, 33.8803807088217, 33.8767405798201, 33.8767175699403, 33.8752894040724, 33.8752863320105, 33.8730475574513, 33.8731109805174, 33.8699159818114, 33.869902366798, 33.8694421116057, 33.8694560689832, 33.8603526280505, 33.860346494591, 33.8585274579612, 33.8585390407069, 33.8534229955779, 33.8534093451559, 33.8544765268158, 33.8569680844482, 33.856954683528, 33.8562282308433, 
33.8604522911767, 33.8560376064667, 33.8560063287758, 33.8602468669692, 33.8602216357093, 33.8612324828889, 33.8612266842774, 33.8766758473484, 33.8766930436866, 33.8803407523698)))",2021-07-09,42,4,1,16795,16795,District 4,District 4 - J. Hahn,0,0.22857142857142856,NA
City,Azusa,NA,City of Azusa,-117.91235057437743,34.138621713483,"list(list(c(-117.890044788897, -117.890036423548, -117.890020763838, -117.890045739616, -117.889902835784, -117.890074062033, -117.886642399068, -117.886360655391, -117.885915970141, -117.881294854918, -117.881424595344, -117.885744901342, -117.885755756494, -117.889611711495, -117.889218255374, -117.890285472387, -117.890301459558, -117.889925597838, -117.884650720178, -117.884660979616, -117.884363556039, -117.884388073637, -117.885167228318, -117.88815726488, -117.890233579257, -117.890068204901, 
-117.890035321663, -117.891254253059, -117.892295898892, -117.894487748701, -117.89916600532, -117.899248857428, -117.899292761751, -117.898840150436, -117.898883657604, -117.895875048323, -117.890327827968, -117.890347063206, -117.887251698551, -117.887268984558, -117.890261849315, -117.895636707727, -117.907821499266, -117.909910822199, -117.909863820016, -117.912067254185, -117.912031147208, -117.907828869414, -117.907826244343, -117.911305254828, -117.915757572919, -117.915715526163, -117.91623255825, 
-117.916338363367, -117.91427861504, -117.914304419048, -117.916671314432, -117.916698863148, -117.917661876898, -117.91750343318, -117.916842441667, -117.916473794148, -117.916374617713, -117.92089436698, -117.920887738261, -117.924229341267, -117.924235963121, -117.920934063757, -117.920985329731, -117.925380624661, -117.92528814864, -117.927483395662, -117.9275295732, -117.928624695093, -117.928446450427, -117.938187546575, -117.938152471339, -117.929408358467, -117.929368807578, -117.929357726336, 
-117.933294783301, -117.934708018041, -117.938942510238, -117.939483523812, -117.939517391643, -117.944247446727, -117.940790996113, -117.939539490125, -117.937826160441, -117.93388212584, -117.931697073839, -117.929899369768, -117.932828033598, -117.934557396964, -117.937979363184, -117.937941511873, -117.942289644194, -117.942139994382, -117.924763229116, -117.907547043018, -117.907528281722, -117.898780947234, -117.898798421115, -117.890044788897, 34.1651147491122, 34.1601678854685, 34.1519740623261, 
34.1367601545767, 34.1361170223264, 34.1328138949486, 34.1327918339055, 34.1309961796669, 34.1299639358197, 34.129942998733, 34.126999813287, 34.1269922959836, 34.1250938718878, 34.1250988290141, 34.1240484396565, 34.1240600611053, 34.1219486811492, 34.1213424345362, 34.121351941592, 34.1187054095577, 34.1175623548004, 34.114167729971, 34.1133489207813, 34.1119743558344, 34.1119958381292, 34.1146545943496, 34.1195608846432, 34.1197337290403, 34.1203172098011, 34.1205856868755, 34.1207432173968, 34.1205337618994, 
34.1142576661732, 34.114256944672, 34.1083318902305, 34.1089503531362, 34.1106642378712, 34.1085923621979, 34.1085723396592, 34.1067773107933, 34.1068178488793, 34.1066931173951, 34.1066398256619, 34.1067320808225, 34.1104959382383, 34.1105521754182, 34.113471071498, 34.1134390869461, 34.1143218376598, 34.1141585388446, 34.1119850693893, 34.1143688153125, 34.1143722661442, 34.1109852491585, 34.1109364050125, 34.1083228574162, 34.1083866831113, 34.1072617933744, 34.107206122219, 34.1087554684704, 
34.1107056577079, 34.1110032039465, 34.1143733949775, 34.1141298173468, 34.1106609730761, 34.1106418185497, 34.1088028124211, 34.1088347019285, 34.1070218299248, 34.1069614231576, 34.1106356081345, 34.1106249234976, 34.1088031151008, 34.1087975842043, 34.1144182415736, 34.1144036945166, 34.121624386557, 34.1216281827425, 34.1273787618492, 34.1404912437633, 34.1412196051994, 34.1406659933654, 34.1369414086719, 34.1359661873024, 34.1348303043136, 34.1379184347339, 34.1399172405733, 34.1408271963446, 
34.1427769709174, 34.1465501083547, 34.1491085339081, 34.1507462663124, 34.1524605391692, 34.1536520017802, 34.1523214319609, 34.1543328539824, 34.1543573339605, 34.1652199374547, 34.1653120454797, 34.165141419084, 34.1686521540934, 34.1686149223034, 34.1651059046973, 34.1651147491122), c(-117.907589807386, -117.907619356558, -117.89883432065, -117.898822147215, -117.907589807386, 34.1578592498494, 34.1505653920301, 34.1504724895081, 34.1577972738131, 34.1578592498494), c(-117.90424531596, -117.905508684293, 
-117.905485388471, -117.903469335696, -117.901143371552, -117.9011489036, -117.899094089439, -117.899065062898, -117.899507502792, -117.901109803711, -117.901125904213, -117.903311223099, -117.903291430647, -117.90424531596, 34.1140373965538, 34.1143093998456, 34.1071535896073, 34.107972234657, 34.1082320890423, 34.1091412943777, 34.1091547092886, 34.1126743600583, 34.1142588753794, 34.1142687842136, 34.1104320858213, 34.1104348845167, 34.1132658605511, 34.1140373965538)))",2021-07-09,34,1,0.9993817143905475,50040,50009.060988102996,District 1,District 1 - H. Solis,0,0.3,NA
City,Baldwin Park,NA,City of Baldwin Park,-117.97214234485023,34.082840660181574,"list(list(c(-117.948761454136, -117.948794655443, -117.944878648359, -117.94521131186, -117.944154508532, -117.944497098849, -117.945567097667, -117.945902990407, -117.94791899823, -117.95424626474, -117.956504053052, -117.958241825144, -117.955988997823, -117.959958218315, -117.961648269322, -117.96275149674, -117.963648017327, -117.961446379004, -117.96284200168, -117.964694178405, -117.967085586512, -117.965993132816, -117.966927856816, -117.969294505291, -117.970398771405, -117.969516900687, 
-117.969569474441, -117.970599372268, -117.973033562605, -117.975823429247, -117.976498509426, -117.978082140778, -117.978626830006, -117.982432239606, -117.985294831603, -117.986146594802, -117.988464405548, -117.990298477578, -117.991508584962, -118.00027128717, -118.001364090231, -118.00286783566, -118.003493434045, -118.007267160367, -118.007673283936, -118.005890831185, -118.005329581928, -118.005476543436, -118.002150255605, -118.001465102743, -117.997921758141, -117.982387028036, -117.982406246911, 
-117.984546499761, -117.984564961162, -117.978013161403, -117.978042618009, -117.96940908811, -117.943120159162, -117.943091963135, -117.954800105676, -117.95475751297, -117.953657603112, -117.953651408155, -117.95474301229, -117.954680360363, -117.952583668492, -117.951499958839, -117.948761454136, 34.092381054884, 34.0894020399485, 34.0903005861296, 34.0866615335479, 34.0865964749573, 34.0829519328105, 34.0829689068277, 34.0793514942292, 34.0794825609278, 34.0735538592663, 34.0752216154557, 34.0735848461016, 
34.0719181538567, 34.0681783196891, 34.0693340004664, 34.0684979648468, 34.0683907280805, 34.0667739591877, 34.0654519877259, 34.0657798818009, 34.0635180360897, 34.0624859114827, 34.0616130378643, 34.0633540899533, 34.0638091368169, 34.0646456416295, 34.0653484201635, 34.0660998724311, 34.0638097538342, 34.0641778712399, 34.0646372409338, 34.062997408191, 34.0633619411807, 34.0625488438529, 34.0624187031355, 34.0628522790886, 34.0627525694306, 34.0629584764301, 34.0626528676441, 34.0616687445129, 
34.0588484009178, 34.0556481468129, 34.0551507675956, 34.0577325578008, 34.0581508946266, 34.063373306155, 34.0640661373527, 34.0645820417546, 34.0742738580358, 34.0768647602207, 34.0777358240485, 34.0812648761627, 34.0919461716398, 34.0919286032621, 34.0992736507933, 34.0993282803883, 34.106652379499, 34.1066573719621, 34.1069346661631, 34.099825921659, 34.099693132167, 34.0959968922779, 34.096007810335, 34.0922865111449, 34.0922749030883, 34.0890385814272, 34.0909846389641, 34.0916498796489, 34.092381054884
)))",2021-07-09,17,1,1,76769,76769,District 1,District 1 - H. Solis,0,0.72,NA
City,Bell,NA,City of Bell,-118.17978280326324,33.98005833234821,"list(list(c(-118.167047129322, -118.167114624122, -118.167580674674, -118.167581225548, -118.16714396267, -118.165685800694, -118.166727207413, -118.16774501688, -118.16908878426, -118.169738168184, -118.169479368339, -118.171522858606, -118.171501896114, -118.17218801801, -118.172347457389, -118.173035222041, -118.172875787934, -118.175280530501, -118.175342338609, -118.177397419318, -118.177929391244, -118.18592561274, -118.185769629892, -118.188197570749, -118.18792300553, -118.190139800941, -118.190224261871, 
-118.194087177741, -118.194337266788, -118.199547877469, -118.200139780313, -118.202693157661, -118.203224248807, -118.203778084853, -118.206132201307, -118.206231141153, -118.20392664736, -118.202550435951, -118.202582351034, -118.19747828416, -118.197400349091, -118.189767373659, -118.189749479422, -118.181499668047, -118.16998071429, -118.170249367627, -118.170986230175, -118.172441392702, -118.173787487652, -118.175197354965, -118.177297159347, -118.175967387427, -118.176840617348, -118.177930054949, 
-118.177363091944, -118.177771487768, -118.175101478452, -118.171390813081, -118.170088151188, -118.166397136852, -118.160348666816, -118.160401147871, -118.152069276946, -118.152744670506, -118.154725024875, -118.159332025123, -118.160931357677, -118.161669487691, -118.170247989902, -118.169091612995, -118.167307701919, -118.167047129322, 33.9793585610334, 33.9768173908606, 33.9731909541827, 33.9718180583076, 33.9700339357211, 33.9681529827641, 33.966945928466, 33.9663214428742, 33.9638076883545, 
33.9644813739188, 33.9661503698604, 33.9663662788545, 33.9674029348913, 33.9674754632959, 33.9664258996858, 33.966498420008, 33.9675469540954, 33.9678021250642, 33.9673946663122, 33.9676114903798, 33.968082650279, 33.9689526521456, 33.9699991365903, 33.9702550459147, 33.9691522109885, 33.9693847097225, 33.9688178324139, 33.969229008776, 33.9704084654619, 33.970959490722, 33.9716059735239, 33.9718692823107, 33.9732667024753, 33.9758714205077, 33.9761926989303, 33.9795373550065, 33.9793145743978, 33.9796778920858, 
33.982644490545, 33.9821308597645, 33.9826523925589, 33.981866731136, 33.9819759862597, 33.9811193255819, 33.9799943696841, 33.9815334760369, 33.9837832694377, 33.9864208558461, 33.9881191588326, 33.9895267694378, 33.9911346329554, 33.9925506942642, 33.9936447821972, 33.9955611839709, 33.9957852814245, 33.997014689879, 33.9981015919094, 33.9969229368121, 33.9995981004134, 33.9983447276243, 33.9951870426837, 33.9950286281038, 33.992216680615, 33.9908271308964, 33.9913858578606, 33.991437911239, 33.9919678421312, 
33.9872687112676, 33.9881564917294, 33.986443800927, 33.9810079423508, 33.9793585610334)))",2021-07-09,17,1,1,36332,36332,District 1,District 1 - H. Solis,0,0.72,NA
City,Bell Gardens,NA,City of Bell Gardens,-118.15501366683712,33.96632339582225,"list(list(c(-118.167047129322, -118.153149972935, -118.149643280241, -118.149567860337, -118.150230893687, -118.134619313975, -118.132330639898, -118.130585255783, -118.129386061299, -118.131811833349, -118.133537943973, -118.134602399381, -118.135812485339, -118.138577144371, -118.140131310014, -118.153922175941, -118.158602290392, -118.162056495348, -118.165073149494, -118.17028594278, -118.169963879099, -118.169582049612, -118.16908878426, -118.16774501688, -118.166727207413, -118.165685800694, 
-118.16714396267, -118.167581225548, -118.167580674674, -118.167114624122, -118.167047129322, 33.9793585610334, 33.9779518966306, 33.9776533458922, 33.9769774684256, 33.9742590200062, 33.9725335948763, 33.9726862278966, 33.9733197912906, 33.9709864417627, 33.9710054551102, 33.9707301464009, 33.9702178627113, 33.9690156969971, 33.9645933249314, 33.9631513137938, 33.9557318027739, 33.9518955851544, 33.9528747226638, 33.9534858058671, 33.9541023212109, 33.9595119144051, 33.9622991139223, 33.9638076883545, 
33.9663214428742, 33.966945928466, 33.9681529827641, 33.9700339357211, 33.9718180583076, 33.9731909541827, 33.9768173908606, 33.9793585610334)))",2021-07-09,14,1,0.9999872891508483,43071,43070.45253101619,District 1,District 1 - H. Solis,0,0.82,NA
City,Bellflower,NA,City of Bellflower,-118.12713566191788,33.88802098401823,"list(list(c(-118.109748248412, -118.109346175838, -118.108339844164, -118.1081614895, -118.10817633957, -118.108626074334, -118.108567277969, -118.108238572263, -118.106911123163, -118.108475881521, -118.108362792504, -118.114361034507, -118.114410255111, -118.117412948538, -118.146655880425, -118.151340024032, -118.151402492482, -118.146954949373, -118.14701939255, -118.142834933203, -118.142892591457, -118.143017074073, -118.142817544014, -118.142954531472, -118.142462261443, -118.139243298391, 
-118.137648151741, -118.135441015307, -118.134090008552, -118.109748248412, 33.9098159260051, 33.9098162913584, 33.9063775986869, 33.8881956995278, 33.8869371811813, 33.8869350592945, 33.8796963030172, 33.8777209107376, 33.8727110921756, 33.8727148459267, 33.8655025966106, 33.8654901834185, 33.8689733469021, 33.8690769364944, 33.8689360117505, 33.8689199154332, 33.8797998578726, 33.8798180719512, 33.8893258273247, 33.8893442545235, 33.8970748673333, 33.9024384908194, 33.9023449577237, 33.9082756534474, 
33.9104645441626, 33.909047330494, 33.9090155014309, 33.9096019161007, 33.9097380700168, 33.9098159260051)))",2021-07-09,28,4,1,77735,77735,District 4,District 4 - J. Hahn,0,0.5428571428571428,NA
City,Beverly Hills,NA,City of Beverly Hills,-118.40210918882508,34.07854333112951,"list(list(c(-118.391583109424, -118.391137090736, -118.390565404094, -118.39210009572, -118.392088657676, -118.392561711116, -118.395417848537, -118.396517810746, -118.396512491446, -118.395919137336, -118.395849383228, -118.394418814859, -118.393861442408, -118.389778341341, -118.389737304909, -118.390718131534, -118.390705821077, -118.38383913003, -118.383755381806, -118.377314946263, -118.376182638779, -118.375824072347, -118.372261685745, -118.372030529012, -118.372247646586, -118.376001532973, 
-118.376163323181, -118.377267356801, -118.377332362949, -118.383435535779, -118.38366631182, -118.387783231808, -118.398470218316, -118.399080707752, -118.405921759371, -118.405925593143, -118.406120339225, -118.405573185781, -118.40610214562, -118.410702122837, -118.411550655433, -118.412204433425, -118.41416429434, -118.413512168667, -118.414343345303, -118.417254314212, -118.416371655763, -118.417388919203, -118.418442817096, -118.41962141237, -118.420943305139, -118.421834894669, -118.423285928479, 
-118.42276608791, -118.423349220351, -118.423829860253, -118.422790754296, -118.422780189218, -118.426964241068, -118.426968804891, -118.427042663356, -118.422648253915, -118.422693018073, -118.413956590786, -118.412751153934, -118.411750229635, -118.411454145608, -118.409441050233, -118.409494792751, -118.40889556592, -118.408872806861, -118.409144669329, -118.408702319071, -118.40541367864, -118.405319297016, -118.402418108545, -118.401776370932, -118.400885460436, -118.400897549616, -118.400018065711, 
-118.400909726404, -118.401022226584, -118.398680083037, -118.400048129867, -118.399092769677, -118.396584457009, -118.396586480896, -118.391583109424, 34.1124290074847, 34.1124246126531, 34.1092104028125, 34.1060803978057, 34.0990623319283, 34.0985081265163, 34.0961847491518, 34.0961945402397, 34.0950727333213, 34.0949747249448, 34.0910544060973, 34.0906115228521, 34.08973058275, 34.0884852931199, 34.0764905644739, 34.0765018231942, 34.07209906564, 34.0721025333568, 34.0696826010346, 34.0697077004041, 
34.0694024396244, 34.0700702602611, 34.0642437617108, 34.063865266258, 34.0622017865475, 34.0599647180239, 34.0596001198359, 34.0595221399615, 34.0629547267386, 34.0629368787332, 34.0571023932385, 34.0570906179651, 34.0570949874511, 34.0570342348295, 34.0571041763247, 34.0548323508404, 34.0541443813508, 34.0529632561512, 34.0527766837346, 34.0590774818483, 34.0604248350466, 34.060100759173, 34.0628385042166, 34.0631656763997, 34.064324496682, 34.0683844377906, 34.0688395110336, 34.0702144084673, 
34.0723049946044, 34.0725829081607, 34.0754151585998, 34.0750853938091, 34.0756803874748, 34.0770389775668, 34.0777462342623, 34.0797312716284, 34.0799588653279, 34.0830952734226, 34.0830444920834, 34.0836150070772, 34.0906417857631, 34.0906434991766, 34.0942722740691, 34.0942602739576, 34.0929519377034, 34.0922529245585, 34.0934990694302, 34.0948582127459, 34.0960526753556, 34.0971222590477, 34.0985474604623, 34.1001028751883, 34.1015116346232, 34.1014608860599, 34.0963006691717, 34.0936682728379, 
34.0941547236479, 34.0939959005512, 34.0951396689213, 34.0959906507237, 34.0963016417641, 34.1087402698755, 34.1087548894531, 34.1109054000449, 34.1114694714444, 34.1116401985774, 34.1124150957994, 34.1124290074847)))",2021-07-09,116,3,0.9999967187123135,34520,34519.88672994907,District 3,District 3 - S. Kuehl,0,0,Beverly Hills
